Date,Open,High,Low,Close,Adj Close,Volume
2018-11-08,0.536640,0.539282,0.491286,0.493508,0.493508,686221000
2018-11-09,0.492847,0.515509,0.492847,0.500668,0.500668,509865000
2018-11-10,0.500300,0.511176,0.499791,0.506698,0.506698,328038000
2018-11-11,0.506895,0.508318,0.496930,0.505913,0.505913,292675000
2018-11-12,0.507833,0.525536,0.500816,0.517165,0.517165,605042000
2018-11-13,0.516663,0.525145,0.505520,0.510112,0.510112,521675000
2018-11-14,0.508372,0.510646,0.430398,0.474372,0.474372,980604000
2018-11-15,0.472378,0.484565,0.432724,0.481708,0.481708,965997000
2018-11-16,0.479232,0.485082,0.463771,0.471609,0.471609,593572000
2018-11-17,0.472323,0.496730,0.466813,0.491654,0.491654,607453000
2018-11-18,0.493419,0.522133,0.490330,0.510473,0.510473,884280000
2018-11-19,0.510127,0.510127,0.472305,0.478166,0.478166,1297340000
2018-11-20,0.480279,0.496516,0.423672,0.434726,0.434726,1538310000
2018-11-21,0.436492,0.456144,0.416780,0.447651,0.447651,858303000
2018-11-22,0.447948,0.448206,0.426080,0.426080,0.426080,480044000
2018-11-23,0.425209,0.428205,0.398046,0.407428,0.407428,774083000
2018-11-24,0.407844,0.416762,0.367354,0.375336,0.375336,626279000
2018-11-25,0.374511,0.386333,0.324953,0.374551,0.374551,1296590000
2018-11-26,0.375553,0.388696,0.342019,0.355451,0.355451,1032000000
2018-11-27,0.353977,0.367645,0.342991,0.360163,0.360163,600169000
2018-11-28,0.360313,0.401583,0.360313,0.390557,0.390557,774818000
2018-11-29,0.391862,0.392465,0.373789,0.379562,0.379562,629900577
2018-11-30,0.380538,0.381019,0.355205,0.362455,0.362455,512041152
2018-12-01,0.362557,0.377056,0.357083,0.372906,0.372906,397266565
2018-12-02,0.372162,0.378392,0.365732,0.367627,0.367627,335732170
2018-12-03,0.368598,0.368598,0.346975,0.348754,0.348754,392651602
2018-12-04,0.348534,0.361431,0.342528,0.352231,0.352231,445334425
2018-12-05,0.352353,0.353309,0.338242,0.338242,0.338242,400526135
2018-12-06,0.337083,0.342495,0.310360,0.310936,0.310936,517551018
2018-12-07,0.310837,0.311059,0.291351,0.301997,0.301997,667331346
2018-12-08,0.302440,0.318185,0.297232,0.307269,0.307269,463529471
2018-12-09,0.306451,0.320144,0.304666,0.313370,0.313370,430122746
2018-12-10,0.313485,0.316210,0.300600,0.303766,0.303766,386627710
2018-12-11,0.303100,0.310343,0.298095,0.301345,0.301345,394872460
2018-12-12,0.300671,0.311150,0.300671,0.307323,0.307323,370325300
2018-12-13,0.307660,0.307800,0.298118,0.300026,0.300026,303413882
2018-12-14,0.299972,0.300150,0.285112,0.288790,0.288790,320266796
2018-12-15,0.288699,0.291372,0.282523,0.285883,0.285883,277696889
2018-12-16,0.285911,0.294169,0.285890,0.287929,0.287929,316135928
2018-12-17,0.288101,0.336501,0.286942,0.328453,0.328453,639336584
2018-12-18,0.329022,0.350162,0.325291,0.350162,0.350162,753758216
2018-12-19,0.355060,0.393330,0.348201,0.351956,0.351956,1041279272
2018-12-20,0.347361,0.388974,0.347056,0.378199,0.378199,1006287680
2018-12-21,0.376756,0.384089,0.354035,0.358570,0.358570,724747471
2018-12-22,0.358885,0.362968,0.349870,0.362308,0.362308,487175830
2018-12-23,0.363045,0.381476,0.361807,0.371270,0.371270,634162706
2018-12-24,0.372398,0.448477,0.372398,0.406799,0.406799,1688430313
2018-12-25,0.408439,0.408439,0.369362,0.380872,0.380872,955306079
2018-12-26,0.379991,0.391334,0.363441,0.378693,0.378693,690588635
2018-12-27,0.379106,0.379608,0.336282,0.341162,0.341162,575821046
2018-12-28,0.341807,0.379416,0.339139,0.376852,0.376852,765420103
2018-12-29,0.378346,0.383937,0.367080,0.367252,0.367252,617892296
2018-12-30,0.365248,0.371147,0.362264,0.369581,0.369581,486955034
2018-12-31,0.371051,0.373793,0.350787,0.352706,0.352706,501793515
2019-01-01,0.352512,0.364771,0.350402,0.364771,0.364771,449347621
